,scorer,full_name,similarity
0,Lionel Messi,Lionel Andrés Messi Cuccittini,0.5714285714285714
1,Christian Eriksen,Christian  Dannemann Eriksen,0.7555555555555555
2,Paul Pogba,Paul Pogba,1.0
3,Lorenzo Insigne,Lorenzo Insigne,1.0
4,Kalidou Koulibaly,Kalidou Koulibaly,1.0
5,Virgil van Dijk,Virgil van Dijk,1.0
6,Kylian Mbappé,Kylian Mbappé,1.0
7,Julio Montero Castillo,Sergio Leonel Agüero del Castillo,0.6181818181818182
8,Manuel Seoane,Manuel Neuer,0.72
9,Edinson Cavani,Edinson Roberto Cavani Gómez,0.6666666666666666
10,Sergio Busquets,Sergio Busquets i Burgos,0.7692307692307693
11,Alan Curtis,Thibaut Courtois,0.5925925925925926
12,André Abegglen,Marc-André ter Stegen,0.5714285714285714
13,Antoine Griezmann,Antoine Griezmann,1.0
14,Mohamed Salah,Mohamed  Salah Ghaly,0.7878787878787878
15,Paulo Dybala,Paulo Bruno Exequiel Dybala,0.6153846153846154
16,Milan Škriniar,Milan Škriniar,1.0
17,Fernando Manuel Sousa,Fernando Luiz Rosa,0.717948717948718
18,Gonzalo Higuaín,Gonzalo Gerardo Higuaín,0.7894736842105263
19,Ivan Rakitić,Ivan Rakitic,0.9166666666666666
20,Jan Vertonghen,Jan Vertonghen,1.0
21,Dries Mertens,Dries Mertens,1.0
22,Carlos Miguel da Silva Júnior,Marcelo Vieira da Silva Júnior,0.7796610169491526
23,Toby Alderweireld,Toby Alderweireld,1.0
24,Jordi Alba,Jordi Alba Ramos,0.7692307692307693
25,Thiago Alcântara,Thiago Alcântara do Nascimento,0.6956521739130435
26,Ciro Immobile,Ciro Immobile,1.0
27,Reinaldo Navia,Keylor Navas,0.6153846153846154
28,Francisco Ramírez,Francisco Román Alarcón Suárez,0.6382978723404256
29,James Rodríguez,James David Rodríguez Rubio,0.7142857142857143
30,Carlos Hermosillo,Carlos Henrique Venancio Casimiro,0.56
31,Manuel Rivera,Mauro Emanuel Icardi Rivero,0.6
32,Eudalio Arriaga,Kepa Arrizabalaga,0.5625
33,Hakim Ziyech,Hakim Ziyech,1.0
34,Henrique Tembe,Fábio Henrique Tavares,0.6111111111111112
35,Anthony Martial,Anthony Martial,1.0
36,Timo Werner,Timo Werner,1.0
37,Nikolay Iliev,Niklas Süle,0.6666666666666666
38,Bruno Fernandes,Bruno Miguel Borges Fernandes,0.6818181818181818
39,Nicolás Tellez,Alex Nicolao Telles,0.6666666666666666
40,José María Giménez,José María Giménez de Vargas,0.782608695652174
41,Nabil Dirar,Nabil Fekir,0.7272727272727273
42,Martin Sánchez,Davinson Sánchez,0.7333333333333333
43,Marco Asensio,Marco Asensio Willemsen,0.7222222222222222
44,Ousmane Dembélé,Ousmane Dembélé,1.0
45,Andrés Iniesta,Andrés Iniesta Luján,0.8235294117647058
46,Zlatan Ibrahimović,Zlatan Ibrahimovic,0.9444444444444444
47,Luis Flores,Luiz Frello Filho Jorge,0.5294117647058824
48,Edin Višća,Edin Višca,0.9
49,Serge Gnabry,Serge Gnabry,1.0
50,Matteo Darmian,Mateo Kovacic,0.5925925925925926
51,William Carvalho,William Silva de Carvalho,0.7804878048780488
52,José Augusto de Almeida,Felipe Augusto de Almeida Monteiro,0.6666666666666666
53,Yannick Carrasco,Yannick Ferreira Carrasco,0.7804878048780488
54,Lucas Biglia,Lucas Vázquez Iglesias,0.5882352941176471
55,Quincy Promes,Quincy Anton Promes,0.8125
56,Leon Goretzka,Leon Goretzka,1.0
57,Adrien Rabiot,Adrien Rabiot,1.0
58,Alessio Romagnoli,Alessio Romagnoli,1.0
59,João Cancelo,João Pedro Cavaco Cancelo,0.6486486486486487
60,Sérgio Conceição,Anderson Souza Conceição,0.6
61,Kingsley Coman,Kingsley Coman,1.0
62,Thomas Lemar,Thomas Lemar,1.0
63,Jonathan Tah,Jonathan Tah,1.0
64,Matteo Vitaioli,Matteo Politano,0.7333333333333333
65,Clément Lenglet,Clément Lenglet,1.0
66,Paul Lambert,Pau López Sabata,0.5714285714285714
67,Hirving Lozano,Hirving Rodrigo Lozano Bahena,0.6511627906976745
68,Marcelo Oliveira,Malcom Filipe Silva de Oliveira,0.5957446808510638
69,Lucas Barrios,Lucas Torreira Di Pascua,0.5405405405405406
70,Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,0.6222222222222222
71,Giovani Lo Celso,Giovani Lo Celso,1.0
72,Fabián Ruiz,Fabián Ruiz Peña,0.8148148148148148
73,Frenkie de Jong,Frenkie de Jong,1.0
74,Rashida Williams,Raphael William Anjos Rochedo,0.5777777777777777
75,Juan Carlos Heredia,Juan Everton Mestres de Mesquita,0.5098039215686274
76,Roberto Donadoni,Rosberto J. Dourado Santos,0.6666666666666666
77,No Match,Arthur Henrique Ramos Oliveira Melo,0.5
78,Rodrigo Meléndez,Rodrigo Hernández Cascante,0.6190476190476191
79,Marcos Paulo,Marco Parolo,0.8333333333333334
80,Max Kruse,Max Kruse,1.0
81,Jordan Henderson,Jordan Brian Henderson,0.8421052631578947
82,No Match,Osvaldo Nicolás Fabián Gaitán,0.5
83,Marko Arnautović,Marko Arnautovic,0.9375
84,Sebastian Giovinco,Sebastian Giovinco,1.0
85,Gylfi Sigurðsson,Gylfi Þór Sigurðsson,0.8888888888888888
86,Julian de Guzman,Giuliano Victor de Paula,0.55
87,Péter Juhász,Péter Gulácsi,0.72
88,Gustavo Peña,Luiz Gustavo Dias,0.6206896551724138
89,Kieran Trippier,Kieran Trippier,1.0
90,Aaron Ramsey,Aaron Ramsey,1.0
91,Mario Balotelli,Mario  Barwuah Balotelli,0.7692307692307693
92,Carlos Romero,Marlos Romero Bonfim,0.7272727272727273
93,Juan Carlos Heredia,Taison Barcellos Freda,0.6341463414634146
94,Bonaventure Kalou,Giacomo Bonaventura,0.6111111111111112
95,Jeffrey Edmond,Geoffrey Kondogbia,0.625
96,Jérôme Rothen,Jérôme Roussillon,0.6666666666666666
97,Simone Zaza,Simone Zaza,1.0
98,Jaime Vera,Šime Vrsaljko,0.6086956521739131
99,Christoph Baumgartner,Christoph Kramer,0.7567567567567568
100,Benjamin Moukandjo,Benjamin Mendy,0.75
101,Marcel Sabitzer,Marcel Sabitzer,1.0
102,Natia Natia,Matija Nastasic,0.6923076923076923
103,Alassane Ouédraogo,Alassane Plea,0.6451612903225806
104,Matthias Ginter,Matthias Ginter,1.0
105,Gerard Moreno,Gerard Moreno Balagueró,0.7222222222222222
106,Abdoulaye Traoré,Abdoulaye Doucouré,0.7647058823529411
107,Raphaël Guerreiro,Raphaël Guerreiro,1.0
108,Rivaldo Vítor Borba Ferreira,Ricardo Barbosa Pereira,0.6666666666666666
109,Samuel Camille,Samuel Castillejo Azuaga,0.6842105263157895
110,Julian Brandt,Julian Brandt,1.0
111,Nicolas Pépé,Nicolas Pépé,1.0
112,Steven Bergwijn,Steven Bergwijn,1.0
113,André Onana,André Onana,1.0
114,Fabián Orellana,Fabián Balbuena,0.6666666666666666
115,Carlos Miguel da Silva Júnior,André Miguel Valente da Silva,0.5862068965517241
116,Mikel Oyarzabal,Mikel Oyarzabal Ugarte,0.8108108108108109
117,Jorge Andrade,Everton Jorge Andrade Zanon,0.65
118,Wellington Sánchez,Welington Kauê Dano Nascimento,0.5416666666666666
119,Richarlison,Richarlison de Andrade,0.6666666666666666
120,Álvaro Murillo,Álvaro Odriozola Arzalluz,0.5641025641025641
121,Carlos Soler,Carlos Soler Barragán,0.7272727272727273
122,Houssine Kharja,Houssem Aouar,0.6428571428571429
123,No Match,Tanguy NDombèlé Alvaro,0.5
124,Maximilian Göppel,Maximiliano Gómez,0.7647058823529411
125,Rubén Jiménez Rodríguez,Joaquín Sánchez Rodríguez,0.6666666666666666
126,Jérémy Ménez,Jérémy Mathieu,0.6923076923076923
127,Joël Matip,Joël Andre Job Matip,0.6666666666666666
128,Serge Trinchero,Serge Aurier,0.7407407407407407
129,José Gavica,Josuha Guilavogui,0.5714285714285714
130,Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain,1.0
131,Matthew Amoah,Mathew Ryan,0.6666666666666666
132,Vincent Aboubakar,Vincent Paté Aboubakar,0.8717948717948718
133,Fernando Manuel Co,Luis Fernando Muriel Fruto,0.6818181818181818
134,Domagoj Vida,Domagoj Vida,1.0
135,Maxi Gómez,Ibai Gómez Pérez,0.6153846153846154
136,Cristian Arrieta,Cristian Tello Herrera,0.6842105263157895
137,Camillo Gonsalves,Ismaily Gonçalves dos S.,0.5853658536585366
138,Aïssa Mandi,Aïssa Mandi,1.0
139,Ciprian Marica,Anton Ciprian Tataru?anu,0.5789473684210527
