,Unnamed: 0,scorer,full_name,similarity,fn_tokens,pl_tokens,token_compare
0,0,Lionel Messi,Lionel Andrés Messi Cuccittini,0.5714285714285714,"['Lionel', 'Andrés', 'Messi', 'Cuccittini']","['Lionel', 'Messi']",True
1,1,Christian Eriksen,Christian  Dannemann Eriksen,0.7555555555555555,"['Christian', 'Dannemann', 'Eriksen']","['Christian', 'Eriksen']",True
2,2,Paul Pogba,Paul Pogba,1.0,"['Paul', 'Pogba']","['Paul', 'Pogba']",True
3,3,Lorenzo Insigne,Lorenzo Insigne,1.0,"['Lorenzo', 'Insigne']","['Lorenzo', 'Insigne']",True
4,4,Kalidou Koulibaly,Kalidou Koulibaly,1.0,"['Kalidou', 'Koulibaly']","['Kalidou', 'Koulibaly']",True
5,5,Virgil van Dijk,Virgil van Dijk,1.0,"['Virgil', 'van', 'Dijk']","['Virgil', 'van', 'Dijk']",True
6,6,Kylian Mbappé,Kylian Mbappé,1.0,"['Kylian', 'Mbappé']","['Kylian', 'Mbappé']",True
7,7,Julio Montero Castillo,Sergio Leonel Agüero del Castillo,0.6181818181818182,"['Sergio', 'Leonel', 'Agüero', 'del', 'Castillo']","['Julio', 'Montero', 'Castillo']",False
8,8,Manuel Seoane,Manuel Neuer,0.72,"['Manuel', 'Neuer']","['Manuel', 'Seoane']",False
9,9,Edinson Cavani,Edinson Roberto Cavani Gómez,0.6666666666666666,"['Edinson', 'Roberto', 'Cavani', 'Gómez']","['Edinson', 'Cavani']",True
10,10,Sergio Busquets,Sergio Busquets i Burgos,0.7692307692307693,"['Sergio', 'Busquets', 'i', 'Burgos']","['Sergio', 'Busquets']",True
11,11,Alan Curtis,Thibaut Courtois,0.5925925925925926,"['Thibaut', 'Courtois']","['Alan', 'Curtis']",False
12,12,André Abegglen,Marc-André ter Stegen,0.5714285714285714,"['Marc-André', 'ter', 'Stegen']","['André', 'Abegglen']",False
13,13,Antoine Griezmann,Antoine Griezmann,1.0,"['Antoine', 'Griezmann']","['Antoine', 'Griezmann']",True
14,14,Mohamed Salah,Mohamed  Salah Ghaly,0.7878787878787878,"['Mohamed', 'Salah', 'Ghaly']","['Mohamed', 'Salah']",True
15,15,Paulo Dybala,Paulo Bruno Exequiel Dybala,0.6153846153846154,"['Paulo', 'Bruno', 'Exequiel', 'Dybala']","['Paulo', 'Dybala']",True
16,16,Milan Škriniar,Milan Škriniar,1.0,"['Milan', 'Škriniar']","['Milan', 'Škriniar']",True
17,17,Fernando Manuel Sousa,Fernando Luiz Rosa,0.717948717948718,"['Fernando', 'Luiz', 'Rosa']","['Fernando', 'Manuel', 'Sousa']",False
18,18,Gonzalo Higuaín,Gonzalo Gerardo Higuaín,0.7894736842105263,"['Gonzalo', 'Gerardo', 'Higuaín']","['Gonzalo', 'Higuaín']",True
19,19,Ivan Rakitić,Ivan Rakitic,0.9166666666666666,"['Ivan', 'Rakitic']","['Ivan', 'Rakitić']",False
20,20,Jan Vertonghen,Jan Vertonghen,1.0,"['Jan', 'Vertonghen']","['Jan', 'Vertonghen']",True
21,21,Dries Mertens,Dries Mertens,1.0,"['Dries', 'Mertens']","['Dries', 'Mertens']",True
22,22,Carlos Miguel da Silva Júnior,Marcelo Vieira da Silva Júnior,0.7796610169491526,"['Marcelo', 'Vieira', 'da', 'Silva', 'Júnior']","['Carlos', 'Miguel', 'da', 'Silva', 'Júnior']",True
23,23,Toby Alderweireld,Toby Alderweireld,1.0,"['Toby', 'Alderweireld']","['Toby', 'Alderweireld']",True
24,24,Jordi Alba,Jordi Alba Ramos,0.7692307692307693,"['Jordi', 'Alba', 'Ramos']","['Jordi', 'Alba']",True
25,25,Thiago Alcântara,Thiago Alcântara do Nascimento,0.6956521739130435,"['Thiago', 'Alcântara', 'do', 'Nascimento']","['Thiago', 'Alcântara']",True
26,26,Ciro Immobile,Ciro Immobile,1.0,"['Ciro', 'Immobile']","['Ciro', 'Immobile']",True
27,27,Reinaldo Navia,Keylor Navas,0.6153846153846154,"['Keylor', 'Navas']","['Reinaldo', 'Navia']",False
28,28,Francisco Ramírez,Francisco Román Alarcón Suárez,0.6382978723404256,"['Francisco', 'Román', 'Alarcón', 'Suárez']","['Francisco', 'Ramírez']",False
29,29,James Rodríguez,James David Rodríguez Rubio,0.7142857142857143,"['James', 'David', 'Rodríguez', 'Rubio']","['James', 'Rodríguez']",True
30,30,Carlos Hermosillo,Carlos Henrique Venancio Casimiro,0.56,"['Carlos', 'Henrique', 'Venancio', 'Casimiro']","['Carlos', 'Hermosillo']",False
31,31,Manuel Rivera,Mauro Emanuel Icardi Rivero,0.6,"['Mauro', 'Emanuel', 'Icardi', 'Rivero']","['Manuel', 'Rivera']",False
32,32,Eudalio Arriaga,Kepa Arrizabalaga,0.5625,"['Kepa', 'Arrizabalaga']","['Eudalio', 'Arriaga']",False
33,33,Hakim Ziyech,Hakim Ziyech,1.0,"['Hakim', 'Ziyech']","['Hakim', 'Ziyech']",True
34,34,Henrique Tembe,Fábio Henrique Tavares,0.6111111111111112,"['Fábio', 'Henrique', 'Tavares']","['Henrique', 'Tembe']",False
35,35,Anthony Martial,Anthony Martial,1.0,"['Anthony', 'Martial']","['Anthony', 'Martial']",True
36,36,Timo Werner,Timo Werner,1.0,"['Timo', 'Werner']","['Timo', 'Werner']",True
37,37,Nikolay Iliev,Niklas Süle,0.6666666666666666,"['Niklas', 'Süle']","['Nikolay', 'Iliev']",False
38,38,Bruno Fernandes,Bruno Miguel Borges Fernandes,0.6818181818181818,"['Bruno', 'Miguel', 'Borges', 'Fernandes']","['Bruno', 'Fernandes']",True
39,39,Nicolás Tellez,Alex Nicolao Telles,0.6666666666666666,"['Alex', 'Nicolao', 'Telles']","['Nicolás', 'Tellez']",False
40,40,José María Giménez,José María Giménez de Vargas,0.782608695652174,"['José', 'María', 'Giménez', 'de', 'Vargas']","['José', 'María', 'Giménez']",True
41,41,Nabil Dirar,Nabil Fekir,0.7272727272727273,"['Nabil', 'Fekir']","['Nabil', 'Dirar']",False
42,42,Martin Sánchez,Davinson Sánchez,0.7333333333333333,"['Davinson', 'Sánchez']","['Martin', 'Sánchez']",False
43,43,Marco Asensio,Marco Asensio Willemsen,0.7222222222222222,"['Marco', 'Asensio', 'Willemsen']","['Marco', 'Asensio']",True
44,44,Ousmane Dembélé,Ousmane Dembélé,1.0,"['Ousmane', 'Dembélé']","['Ousmane', 'Dembélé']",True
45,45,Andrés Iniesta,Andrés Iniesta Luján,0.8235294117647058,"['Andrés', 'Iniesta', 'Luján']","['Andrés', 'Iniesta']",True
46,46,Zlatan Ibrahimović,Zlatan Ibrahimovic,0.9444444444444444,"['Zlatan', 'Ibrahimovic']","['Zlatan', 'Ibrahimović']",False
47,47,Luis Flores,Luiz Frello Filho Jorge,0.5294117647058824,"['Luiz', 'Frello', 'Filho', 'Jorge']","['Luis', 'Flores']",False
48,48,Edin Višća,Edin Višca,0.9,"['Edin', 'Višca']","['Edin', 'Višća']",False
49,49,Serge Gnabry,Serge Gnabry,1.0,"['Serge', 'Gnabry']","['Serge', 'Gnabry']",True
50,50,Matteo Darmian,Mateo Kovacic,0.5925925925925926,"['Mateo', 'Kovacic']","['Matteo', 'Darmian']",False
51,51,William Carvalho,William Silva de Carvalho,0.7804878048780488,"['William', 'Silva', 'de', 'Carvalho']","['William', 'Carvalho']",True
52,52,José Augusto de Almeida,Felipe Augusto de Almeida Monteiro,0.6666666666666666,"['Felipe', 'Augusto', 'de', 'Almeida', 'Monteiro']","['José', 'Augusto', 'de', 'Almeida']",True
53,53,Yannick Carrasco,Yannick Ferreira Carrasco,0.7804878048780488,"['Yannick', 'Ferreira', 'Carrasco']","['Yannick', 'Carrasco']",True
54,54,Lucas Biglia,Lucas Vázquez Iglesias,0.5882352941176471,"['Lucas', 'Vázquez', 'Iglesias']","['Lucas', 'Biglia']",False
55,55,Quincy Promes,Quincy Anton Promes,0.8125,"['Quincy', 'Anton', 'Promes']","['Quincy', 'Promes']",True
56,56,Leon Goretzka,Leon Goretzka,1.0,"['Leon', 'Goretzka']","['Leon', 'Goretzka']",True
