scorer,full_name,similarity,token_compare
Lionel Messi,Lionel Andrés Messi Cuccittini,0.571428571,TRUE
Christian Eriksen,Christian  Dannemann Eriksen,0.755555556,TRUE
Paul Pogba,Paul Pogba,1,TRUE
Lorenzo Insigne,Lorenzo Insigne,1,TRUE
Kalidou Koulibaly,Kalidou Koulibaly,1,TRUE
Virgil van Dijk,Virgil van Dijk,1,TRUE
Kylian Mbappé,Kylian Mbappé,1,TRUE
Julio Montero Castillo,Sergio Leonel Agüero del Castillo,0.618181818,FALSE
Manuel Seoane,Manuel Neuer,0.72,FALSE
Edinson Cavani,Edinson Roberto Cavani Gómez,0.666666667,TRUE
Sergio Busquets,Sergio Busquets i Burgos,0.769230769,TRUE
Alan Curtis,Thibaut Courtois,0.592592593,FALSE
André Abegglen,Marc-André ter Stegen,0.571428571,FALSE
Antoine Griezmann,Antoine Griezmann,1,TRUE
Mohamed Salah,Mohamed  Salah Ghaly,0.787878788,TRUE
Paulo Dybala,Paulo Bruno Exequiel Dybala,0.615384615,TRUE
Milan Škriniar,Milan Škriniar,1,TRUE
Fernando Manuel Sousa,Fernando Luiz Rosa,0.717948718,FALSE
Gonzalo Higuaín,Gonzalo Gerardo Higuaín,0.789473684,TRUE
Ivan Rakitić,Ivan Rakitic,0.916666667,FALSE
Jan Vertonghen,Jan Vertonghen,1,TRUE
Dries Mertens,Dries Mertens,1,TRUE
Carlos Miguel da Silva Júnior,Marcelo Vieira da Silva Júnior,0.779661017,TRUE
Toby Alderweireld,Toby Alderweireld,1,TRUE
Jordi Alba,Jordi Alba Ramos,0.769230769,TRUE
Thiago Alcântara,Thiago Alcântara do Nascimento,0.695652174,TRUE
Ciro Immobile,Ciro Immobile,1,TRUE
Reinaldo Navia,Keylor Navas,0.615384615,FALSE
Francisco Ramírez,Francisco Román Alarcón Suárez,0.638297872,FALSE
James Rodríguez,James David Rodríguez Rubio,0.714285714,TRUE
Carlos Hermosillo,Carlos Henrique Venancio Casimiro,0.56,FALSE
Manuel Rivera,Mauro Emanuel Icardi Rivero,0.6,FALSE
Eudalio Arriaga,Kepa Arrizabalaga,0.5625,FALSE
Hakim Ziyech,Hakim Ziyech,1,TRUE
Henrique Tembe,Fábio Henrique Tavares,0.611111111,FALSE
Anthony Martial,Anthony Martial,1,TRUE
Timo Werner,Timo Werner,1,TRUE
Nikolay Iliev,Niklas Süle,0.666666667,FALSE
Bruno Fernandes,Bruno Miguel Borges Fernandes,0.681818182,TRUE
Nicolás Tellez,Alex Nicolao Telles,0.666666667,FALSE
José María Giménez,José María Giménez de Vargas,0.782608696,TRUE
Nabil Dirar,Nabil Fekir,0.727272727,FALSE
Martin Sánchez,Davinson Sánchez,0.733333333,FALSE
Marco Asensio,Marco Asensio Willemsen,0.722222222,TRUE
Ousmane Dembélé,Ousmane Dembélé,1,TRUE
Andrés Iniesta,Andrés Iniesta Luján,0.823529412,TRUE
Zlatan Ibrahimović,Zlatan Ibrahimovic,0.944444444,FALSE
Luis Flores,Luiz Frello Filho Jorge,0.529411765,FALSE
Edin Višća,Edin Višca,0.9,FALSE
Serge Gnabry,Serge Gnabry,1,TRUE
Matteo Darmian,Mateo Kovacic,0.592592593,FALSE
William Carvalho,William Silva de Carvalho,0.780487805,TRUE
José Augusto de Almeida,Felipe Augusto de Almeida Monteiro,0.666666667,TRUE
Yannick Carrasco,Yannick Ferreira Carrasco,0.780487805,TRUE
Lucas Biglia,Lucas Vázquez Iglesias,0.588235294,FALSE
Quincy Promes,Quincy Anton Promes,0.8125,TRUE
Leon Goretzka,Leon Goretzka,1,TRUE
Adrien Rabiot,Adrien Rabiot,1,TRUE
Alessio Romagnoli,Alessio Romagnoli,1,TRUE
João Cancelo,João Pedro Cavaco Cancelo,0.648648649,TRUE
Sérgio Conceição,Anderson Souza Conceição,0.6,FALSE
Kingsley Coman,Kingsley Coman,1,TRUE
Thomas Lemar,Thomas Lemar,1,TRUE
Jonathan Tah,Jonathan Tah,1,TRUE
Matteo Vitaioli,Matteo Politano,0.733333333,FALSE
Clément Lenglet,Clément Lenglet,1,TRUE
Paul Lambert,Pau López Sabata,0.571428571,FALSE
Hirving Lozano,Hirving Rodrigo Lozano Bahena,0.651162791,TRUE
Marcelo Oliveira,Malcom Filipe Silva de Oliveira,0.595744681,FALSE
Lucas Barrios,Lucas Torreira Di Pascua,0.540540541,FALSE
Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,0.622222222,TRUE
Giovani Lo Celso,Giovani Lo Celso,1,TRUE
Fabián Ruiz,Fabián Ruiz Peña,0.814814815,TRUE
Frenkie de Jong,Frenkie de Jong,1,TRUE
Rashida Williams,Raphael William Anjos Rochedo,0.577777778,FALSE
Juan Carlos Heredia,Juan Everton Mestres de Mesquita,0.509803922,FALSE
Roberto Donadoni,Rosberto J. Dourado Santos,0.666666667,FALSE
No Match,Arthur Henrique Ramos Oliveira Melo,0.5,FALSE
Rodrigo Meléndez,Rodrigo Hernández Cascante,0.619047619,TRUE
Marcos Paulo,Marco Parolo,0.833333333,FALSE
Max Kruse,Max Kruse,1,TRUE
Jordan Henderson,Jordan Brian Henderson,0.842105263,TRUE
No Match,Osvaldo Nicolás Fabián Gaitán,0.5,FALSE
Marko Arnautović,Marko Arnautovic,0.9375,FALSE
Sebastian Giovinco,Sebastian Giovinco,1,TRUE
Gylfi Sigurðsson,Gylfi Þór Sigurðsson,0.888888889,TRUE
Julian de Guzman,Giuliano Victor de Paula,0.55,FALSE
Péter Juhász,Péter Gulácsi,0.72,FALSE
Gustavo Peña,Luiz Gustavo Dias,0.620689655,FALSE
Kieran Trippier,Kieran Trippier,1,TRUE
Aaron Ramsey,Aaron Ramsey,1,TRUE
Mario Balotelli,Mario  Barwuah Balotelli,0.769230769,TRUE
Carlos Romero,Marlos Romero Bonfim,0.727272727,FALSE
Juan Carlos Heredia,Taison Barcellos Freda,0.634146341,FALSE
Bonaventure Kalou,Giacomo Bonaventura,0.611111111,FALSE
Jeffrey Edmond,Geoffrey Kondogbia,0.625,FALSE
Jérôme Rothen,Jérôme Roussillon,0.666666667,FALSE
Simone Zaza,Simone Zaza,1,TRUE
Jaime Vera,Šime Vrsaljko,0.608695652,FALSE
Christoph Baumgartner,Christoph Kramer,0.756756757,FALSE
Benjamin Moukandjo,Benjamin Mendy,0.75,FALSE
Marcel Sabitzer,Marcel Sabitzer,1,TRUE
Natia Natia,Matija Nastasic,0.692307692,FALSE
Alassane Ouédraogo,Alassane Plea,0.64516129,FALSE
Matthias Ginter,Matthias Ginter,1,TRUE
Gerard Moreno,Gerard Moreno Balagueró,0.722222222,TRUE
Abdoulaye Traoré,Abdoulaye Doucouré,0.764705882,FALSE
Raphaël Guerreiro,Raphaël Guerreiro,1,TRUE
Rivaldo Vítor Borba Ferreira,Ricardo Barbosa Pereira,0.666666667,FALSE
Samuel Camille,Samuel Castillejo Azuaga,0.684210526,FALSE
Julian Brandt,Julian Brandt,1,TRUE
Nicolas Pépé,Nicolas Pépé,1,TRUE
Steven Bergwijn,Steven Bergwijn,1,TRUE
André Onana,André Onana,1,TRUE
Fabián Orellana,Fabián Balbuena,0.666666667,FALSE
Carlos Miguel da Silva Júnior,André Miguel Valente da Silva,0.586206897,TRUE
Mikel Oyarzabal,Mikel Oyarzabal Ugarte,0.810810811,TRUE
Jorge Andrade,Everton Jorge Andrade Zanon,0.65,TRUE
Wellington Sánchez,Welington Kauê Dano Nascimento,0.541666667,FALSE
Richarlison,Richarlison de Andrade,0.666666667,FALSE
Álvaro Murillo,Álvaro Odriozola Arzalluz,0.564102564,FALSE
Carlos Soler,Carlos Soler Barragán,0.727272727,TRUE
Houssine Kharja,Houssem Aouar,0.642857143,FALSE
No Match,Tanguy NDombèlé Alvaro,0.5,FALSE
Maximilian Göppel,Maximiliano Gómez,0.764705882,FALSE
Rubén Jiménez Rodríguez,Joaquín Sánchez Rodríguez,0.666666667,TRUE
Jérémy Ménez,Jérémy Mathieu,0.692307692,FALSE
Joël Matip,Joël Andre Job Matip,0.666666667,TRUE
Serge Trinchero,Serge Aurier,0.740740741,FALSE
José Gavica,Josuha Guilavogui,0.571428571,FALSE
Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain,1,TRUE
Matthew Amoah,Mathew Ryan,0.666666667,FALSE
Vincent Aboubakar,Vincent Paté Aboubakar,0.871794872,TRUE
Fernando Manuel Co,Luis Fernando Muriel Fruto,0.681818182,FALSE
Domagoj Vida,Domagoj Vida,1,TRUE
Maxi Gómez,Ibai Gómez Pérez,0.615384615,TRUE
Cristian Arrieta,Cristian Tello Herrera,0.684210526,FALSE
Camillo Gonsalves,Ismaily Gonçalves dos S.,0.585365854,FALSE
Aïssa Mandi,Aïssa Mandi,1,TRUE
Ciprian Marica,Anton Ciprian Tataru?anu,0.578947368,FALSE
Jeison Murillo,Jeison Fabián Murillo Cerón,0.682926829,TRUE
Eric Dier,Eric Dier,1,TRUE
Jannick Buyla,Jack Butland,0.72,FALSE
Stefano Sensi,Stefano Sorrentino,0.774193548,FALSE
Wayne Rooney,Wayne Mark Rooney,0.827586207,TRUE
Miguel Ángel Russo,Miguel Ángel Moyá Rumbo,0.780487805,TRUE
Ligorio López,Lisandro López,0.740740741,FALSE
Javier Mascherano,Javier Alejandro Mascherano,0.772727273,TRUE
Rafael van der Vaart,Raffael Caetano de Araújo,0.622222222,FALSE
Vicente Rodríguez,Diego López Rodríguez,0.684210526,FALSE
Juan Francisco Riveros,Juan Francisco Torres Belén,0.693877551,TRUE
Igor Demo,Igor Denisov,0.761904762,FALSE
Igor Korneev,Igor Akinfeev,0.72,FALSE
André-Pierre Gignac,André-Pierre Gignac,1,TRUE
Andreas Granqvist,Andreas Granqvist,1,TRUE
Manuel Fernandes,Manuel Henrique Tavares Fernandes,0.653061224,TRUE
Antonio dos Santos,Dante Bonfim da Costa Santos,0.695652174,FALSE
Patrick Percin,Loïc Perrin,0.56,FALSE
